Fecha Declaración;Nombre;Apellido Paterno;Apellido Materno;Cargo;Tipo Declaración;Institución
2018-03-22T00:00:00Z;MARCELO ANDRÉS;COSTA;CORTÉS;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);AMPLITUD
2018-04-01T00:00:00Z;SERGIO EDUARDO;VERGARA;MORALES;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);MAS-REGIÓN
2018-04-01T00:00:00Z;SERGIO EDUARDO;VERGARA;MORALES;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);MAS-REGIÓN
2019-02-22T00:00:00Z;IVAN;MORAN;MORAN;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO LIBERAL DE CHILE
2017-08-24T00:00:00Z;MAURICIO ALEJANDRO ROSAMEL;HENRÍQUEZ;BARRÍA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);DEMOCRACIA REGIONAL PATAGÓNICA
2018-06-14T00:00:00Z;MARÍA CECILIA DE LOURDES;ROMERO;PEÑA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO PAÍS
2018-06-14T00:00:00Z;MARÍA CECILIA DE LOURDES;ROMERO;PEÑA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PAIS PROGRESISTA
2018-06-07T00:00:00Z;GRACIELA LILIAN;SALAZAR;ESPINOZA;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO POR LA DEMOCRACIA
2018-06-13T00:00:00Z;ANDREA XIMENA;CONDEMARÍN;FUENTES;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PAIS PROGRESISTA
2019-04-03T00:00:00Z;ESKARLET CAROLINA;GARCÍA;RAMOS;MIEMBRO ÓRGANO EJECUTIVO;PRIMERA DECLARACIÓN (POR ASUNCIÓN DE CARGO);PARTIDO POR LA DEMOCRACIA
